железобетонные сваи 48 шт. + пробное бурение.,391000
Замена базового кровельного материала на мягкую кровлю Шинглас (Технониколь),350730
Замена базового кровельного покрытия на Кликфальц,762840
"Водосточная система деке, цвет на выбор",103500
Зашивка цоколя в 1 ряд панелями деке,144000
Антисептирование всего силового каркаса на возведенном доме,151600
Покраска наружной отделки стен и свесов кровли на возведенном доме,411600
Покраска внутренних стен и потолков во всем доме на возведенном доме,749050
"Замена на потолке имитации бруса, на натяжной потолок",193000
"Замена всех межкомнатных дверей на МДФ двери Тёмного или Светлого цвета, на выбо",455200
40 точек электропроводки + щиток,351000
Ламинат на полы,825840
"Черновая разводка ГВС, ХВС и канализации по дому",252000
Отопление электрическими обогревателями (комплект с установкой на весь дом),340200
Отопление дома электрическим теплым полом,607400
Автономная канализация. Станция биологической очистки (Септик).,250000
Фильтрационная система (стоимость может измениться после анализа воды),300000
"Аренда блок-контейнера для проживания бригады, на весь срок строительства",60000
Вывоз мусора после строительства (1 Пухто или 2 газели),80000
Регистрация дома (технический план здания с подачей документов в Росреестр).,40000
Заезд на участок шириной до 6м (для не глубоких канав),220000
"Чистовые сантехнические приборы: бойлер, унитаз(ы), раковина(ы), душевая кабина(ы)",630000
Незамерзающий кран для полива (добавляется к черновой разводке труб),30000
Заземление (комплект с установкой),60000
Подключение света от общего столба к дому в земле до 20 м.п.,120000
