железобетонные сваи 56 шт. + пробное бурение.,462000,Unnamed: 2,Unnamed: 3
Замена базового кровельного материала на мягкую кровлю Шинглас (Технониколь),520200,,
Замена базового кровельного покрытия на Кликфальц,812680,,
"Водосточная система деке, цвет на выбо",166500,,Цена
Зашивка цоколя в 1 ряд панелями деке,194400,,
Антисептирование всего силового каркаса на возведенном доме,193280,,8790800
Покраска наружной отделки стен и свесов кровли на возведенном доме,549000,,
Покраска внутренних стен и потолков во всем доме на возведенном доме,786600,,
"Замена на потолке имитации бруса, на натяжной потолок",132000,,
Ламинат на полы,567600,,
"Замена всех межкомнатных дверей на МДФ двери Тёмного или Светлого цвета, на выбо",266000,,
40 точек электропроводки + щиток,351000,,
"Черновая разводка ГВС, ХВС и канализации по дому",211000,,
Отопление электрическими обогревателями (комплект с установкой на весь дом),210600,,
Отопление дома электрическим теплым полом,415800,,
Автономная канализация. Станция биологической очистки (Септик).,250000,,
Фильтрационная система (стоимость может измениться после анализа воды),300000,,
"Аренда блок-контейнера для проживания бригады, на весь срок строительства",60000,,
Вывоз мусора после строительства (1 Пухто или 2 газели),80000,,
Регистрация дома (технический план здания с подачей документов в Росреестр).,40000,,
Заезд на участок шириной до 6м (для не глубоких канав),220000,,
"Чистовые сантехнические приборы: бойлер, унитаз(ы), раковина(ы), душевая кабина(ы)",42000,,
Незамерзающий кран для полива (добавляется к черновой разводке труб),30000,,
Заземление (комплект с установкой),60000,,
Подключение света от общего столба к дому в земле до 20 м.п.,120000,,
